Date,HouseholdID,PredictedUsage,PredictedGeneration,TradingPosition,DynamicPrice
2025-02-09,H1,945.15,342.88,Buyer,0.5166
2025-02-16,H1,945.15,342.88,Buyer,0.5316
2025-02-23,H1,945.15,342.88,Buyer,0.4738
2025-03-02,H1,945.15,571.46,Buyer,0.2629
2025-03-09,H1,945.15,571.46,Buyer,0.2882
2025-03-16,H1,945.15,571.46,Buyer,0.2648
2025-03-23,H1,945.15,571.46,Buyer,0.3038
2025-03-30,H1,945.15,571.46,Buyer,0.2679
2025-04-06,H1,945.15,571.46,Buyer,0.2534
2025-04-13,H1,945.15,571.46,Buyer,0.3013
2025-02-09,H2,1435.22,452.93,Buyer,0.4679
2025-02-16,H2,1435.22,452.93,Buyer,0.4661
2025-02-23,H2,1435.22,452.93,Buyer,0.4644
2025-03-02,H2,1435.22,754.89,Buyer,0.2996
2025-03-09,H2,1435.22,754.89,Buyer,0.3059
2025-03-16,H2,1435.22,754.89,Buyer,0.2751
2025-03-23,H2,1435.22,754.89,Buyer,0.3017
2025-03-30,H2,1435.22,754.89,Buyer,0.2896
2025-04-06,H2,1435.22,754.89,Buyer,0.3099
2025-04-13,H2,1435.22,754.89,Buyer,0.299
2025-02-09,H3,716.46,506.45,Buyer,0.5043
2025-02-16,H3,716.46,506.45,Buyer,0.4762
2025-02-23,H3,716.46,506.45,Buyer,0.453
2025-03-02,H3,716.46,844.09,Seller,0.1599
2025-03-09,H3,716.46,844.09,Seller,0.1814
2025-03-16,H3,716.46,844.09,Seller,0.1646
2025-03-23,H3,716.46,844.09,Seller,0.167
2025-03-30,H3,716.46,844.09,Seller,0.1615
2025-04-06,H3,716.46,844.09,Seller,0.1732
2025-04-13,H3,716.46,844.09,Seller,0.1496
2025-02-09,H4,1206.54,391.9,Buyer,0.4701
2025-02-16,H4,1206.54,391.9,Buyer,0.5146
2025-02-23,H4,1206.54,391.9,Buyer,0.4911
2025-03-02,H4,1206.54,653.16,Buyer,0.2934
2025-03-09,H4,1206.54,653.16,Buyer,0.2572
2025-03-16,H4,1206.54,653.16,Buyer,0.2608
2025-03-23,H4,1206.54,653.16,Buyer,0.2992
2025-03-30,H4,1206.54,653.16,Buyer,0.286
2025-04-06,H4,1206.54,653.16,Buyer,0.296
2025-04-13,H4,1206.54,653.16,Buyer,0.3011
2025-02-09,H5,840.77,562.23,Buyer,0.5066
2025-02-16,H5,840.77,562.23,Buyer,0.4694
2025-02-23,H5,840.77,562.23,Buyer,0.4802
2025-03-02,H5,840.77,937.06,Seller,0.1798
2025-03-09,H5,840.77,937.06,Seller,0.187
2025-03-16,H5,840.77,937.06,Seller,0.1828
2025-03-23,H5,840.77,937.06,Seller,0.1713
2025-03-30,H5,840.77,937.06,Seller,0.1716
2025-04-06,H5,840.77,937.06,Seller,0.1629
2025-04-13,H5,840.77,937.06,Seller,0.1691
